date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:26	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/robots.txt		(from )
19:42:27	23208/23208	---M-Z	200	added ('OK')	text/html	etag:W/%22618ca8b1-5aa8%22	https://technext.github.io/grad-school/	/home/kumartej/websites/edu3/technext.github.io/grad-school/index.html	(from )
19:42:29	1881/1881	---MC-	200	added ('OK')	text/css	date:Fri,%2030%20Sep%202022%2014:12:28%20GMT	https://fonts.googleapis.com/css?family=Montserrat:100,200,300,400,500,600,700,800,900	/home/kumartej/websites/edu3/fonts.googleapis.com/css0fc8.css	(from https://technext.github.io/grad-school/)
19:42:30	160302/160302	---M-Z	200	added ('OK')	text/css	etag:W/%22618ca8b1-2722e%22	https://technext.github.io/grad-school/vendor/bootstrap/css/bootstrap.min.css	/home/kumartej/websites/edu3/technext.github.io/grad-school/vendor/bootstrap/css/bootstrap.min.css	(from https://technext.github.io/grad-school/)
19:42:30	23739/23739	---M-Z	200	added ('OK')	text/css	etag:W/%22618ca8b1-5cbb%22	https://technext.github.io/grad-school/assets/css/fontawesome.css	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/css/fontawesome.css	(from https://technext.github.io/grad-school/)
19:42:31	28082/28082	---M-Z	200	added ('OK')	text/css	etag:W/%22618ca8b1-6db2%22	https://technext.github.io/grad-school/assets/css/templatemo-grad-school.css	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/css/templatemo-grad-school.css	(from https://technext.github.io/grad-school/)
19:42:32	4743/4743	---M-Z	200	added ('OK')	text/css	etag:W/%22618ca8b1-1287%22	https://technext.github.io/grad-school/assets/css/owl.css	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/css/owl.css	(from https://technext.github.io/grad-school/)
19:42:33	3625/3625	---M-Z	200	added ('OK')	text/css	etag:W/%22618ca8b1-e29%22	https://technext.github.io/grad-school/assets/css/lightbox.css	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/css/lightbox.css	(from https://technext.github.io/grad-school/)
19:42:37	323048/323048	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-4ede8%22	https://technext.github.io/grad-school/assets/images/choose-us-image-01.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/choose-us-image-01.png	(from https://technext.github.io/grad-school/)
19:42:39	323384/323384	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-4ef38%22	https://technext.github.io/grad-school/assets/images/choose-us-image-02.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/choose-us-image-02.png	(from https://technext.github.io/grad-school/)
19:42:39	293544/293544	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-47aa8%22	https://technext.github.io/grad-school/assets/images/choose-us-image-03.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/choose-us-image-03.png	(from https://technext.github.io/grad-school/)
19:42:40	17173/17173	---M--	200	added ('OK')	image/jpeg	etag:%22618ca8b1-4315%22	https://technext.github.io/grad-school/assets/images/courses-01.jpg	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/courses-01.jpg	(from https://technext.github.io/grad-school/)
19:42:40	4976/4976	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-1370%22	https://technext.github.io/grad-school/assets/images/author-01.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/author-01.png	(from https://technext.github.io/grad-school/)
19:42:41	20185/20185	---M--	200	added ('OK')	image/jpeg	etag:%22618ca8b1-4ed9%22	https://technext.github.io/grad-school/assets/images/courses-02.jpg	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/courses-02.jpg	(from https://technext.github.io/grad-school/)
19:42:42	4953/4953	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-1359%22	https://technext.github.io/grad-school/assets/images/author-02.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/author-02.png	(from https://technext.github.io/grad-school/)
19:42:43	18747/18747	---M--	200	added ('OK')	image/jpeg	etag:%22618ca8b1-493b%22	https://technext.github.io/grad-school/assets/images/courses-03.jpg	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/courses-03.jpg	(from https://technext.github.io/grad-school/)
19:42:44	5126/5126	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-1406%22	https://technext.github.io/grad-school/assets/images/author-03.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/author-03.png	(from https://technext.github.io/grad-school/)
19:42:45	6129513/6129513	---M--	200	added ('OK')	video/mp4	etag:%22618ca8b1-5d8769%22	https://technext.github.io/grad-school/assets/images/course-video.mp4	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/course-video.mp4	(from https://technext.github.io/grad-school/)
19:42:45	12906/12906	---M--	200	added ('OK')	image/jpeg	etag:%22618ca8b1-326a%22	https://technext.github.io/grad-school/assets/images/courses-04.jpg	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/courses-04.jpg	(from https://technext.github.io/grad-school/)
19:42:46	5527/5527	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-1597%22	https://technext.github.io/grad-school/assets/images/author-04.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/author-04.png	(from https://technext.github.io/grad-school/)
19:42:47	14500/14500	---M--	200	added ('OK')	image/jpeg	etag:%22618ca8b1-38a4%22	https://technext.github.io/grad-school/assets/images/courses-05.jpg	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/courses-05.jpg	(from https://technext.github.io/grad-school/)
19:42:48	5667/5667	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-1623%22	https://technext.github.io/grad-school/assets/images/author-05.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/author-05.png	(from https://technext.github.io/grad-school/)
19:42:50	86926/86926	---M-Z	200	added ('OK')	application/javascript	etag:W/%22618ca8b1-1538e%22	https://technext.github.io/grad-school/vendor/jquery/jquery.min.js	/home/kumartej/websites/edu3/technext.github.io/grad-school/vendor/jquery/jquery.min.js	(from https://technext.github.io/grad-school/)
19:42:50	616535/616535	---M--	200	added ('OK')	image/png	etag:%22618ca8b1-96857%22	https://technext.github.io/grad-school/assets/images/main-thumb.png	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/images/main-thumb.png	(from https://technext.github.io/grad-school/)
19:42:51	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/grad-school/vendor/bootstrap/js/bootstrap.bundle.min.js	/home/kumartej/websites/edu3/technext.github.io/grad-school/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://technext.github.io/grad-school/)
19:42:52	119983/119983	---M-Z	200	added ('OK')	application/javascript	etag:W/%22618ca8b1-1d4af%22	https://technext.github.io/grad-school/assets/js/isotope.min.js	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/js/isotope.min.js	(from https://technext.github.io/grad-school/)
19:42:54	89991/89991	---M-Z	200	added ('OK')	application/javascript	etag:W/%22618ca8b1-15f87%22	https://technext.github.io/grad-school/assets/js/owl-carousel.js	/home/kumartej/websites/edu3/technext.github.io/grad-school/assets/js/owl-carousel.js	(from https://technext.github.io/grad-school/)
